headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
Why Student Debt Relief Isn’t Elitist,2022-08-29T23:00:06Z,"No, it isn’t a bailout for slacker baristas.",https://www.nytimes.com/2022/08/29/opinion/student-debt-relief.html,882,"No, it isn’t a bailout for slacker baristas.",OpEd,Opinion,,Op-Ed,By Paul Krugman,
Ron DeSantis’s Florida,2022-08-28T11:26:02Z,How the Republican governor is turning the swing state into a right-wing laboratory.,https://www.nytimes.com/2022/08/28/briefing/ron-desantis-florida.html,1630,How the Republican governor is turning the swing state into a right-wing laboratory.,NYTNow,Briefing,,briefing,By German Lopez,
Your Friday Evening Briefing,2022-08-26T21:46:35Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2022/08/26/briefing/affidavit-donald-trump-federal-reserve.html,1275,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Matthew Cullen,
The Two Big Questions About Student Debt Relief,2022-08-25T23:00:05Z,"No, helping former students won’t cause inflation to explode.",https://www.nytimes.com/2022/08/25/opinion/student-debt-relief-biden.html,911,"No, helping former students won’t cause inflation to explode.",OpEd,Opinion,,Op-Ed,By Paul Krugman,
Your Thursday Evening Briefing,2022-08-25T22:01:57Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2022/08/25/briefing/trump-affidavit-judge-spider-myths.html,1295,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Matthew Cullen,
How a Corporate Law Firm Led a Political Revolution,2022-08-25T09:00:07Z,The untold story of Jones Day’s push to move the American government and courts to the right.,https://www.nytimes.com/2022/08/25/magazine/jones-day-trump.html,7424,The untold story of Jones Day’s push to move the American government and courts to the right.,Magazine,Magazine,,News,By David Enrich,
What Two Primaries Reveal About the Decline of Working-Class Democrats,2022-08-24T22:23:15Z,Can Democrats effectively represent radically different constituencies within the party? ,https://www.nytimes.com/2022/08/24/opinion/new-york-primary-nadler-goldman-class.html,1313,Can Democrats effectively represent radically different constituencies within the party? ,OpEd,Opinion,,Op-Ed,By Kim Phillips-Fein,
"When It Comes to Eating Away at Democracy, Trump Is a Winner",2022-08-24T09:00:08Z,His drive to undermine faith in elections has proved strikingly successful.,https://www.nytimes.com/2022/08/24/opinion/us-democracy-trump.html,2975,His drive to undermine faith in elections has proved strikingly successful.,OpEd,Opinion,,Op-Ed,By Thomas B. Edsall,
Nadler Swamps Maloney in Primary Face-off of Washington Veterans,2022-08-24T05:37:06Z,"Representative Jerrold Nadler handily beat his congressional neighbor Carolyn Maloney, while Pat Ryan, a Democrat, won a closely watched Hudson Valley special election.",https://www.nytimes.com/2022/08/24/nyregion/nadler-swamps-maloney-in-primary-face-off-of-washington-veterans.html,1509,"Representative Jerrold Nadler handily beat his congressional neighbor Carolyn Maloney, while Pat Ryan, a Democrat, won a closely watched Hudson Valley special election.",Metro,New York,,briefing,By James Barron,
Your Wednesday Briefing,2022-08-24T04:29:38Z,Ukraine braces for Independence Day.,https://www.nytimes.com/2022/08/24/briefing/ukraine-independence-russia-europe.html,1297,Ukraine braces for Independence Day.,NYTNow,Briefing,,News,By Amelia Nierenberg,
