headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
An Activist Investor Goes Quiet,2022-03-30T11:41:12Z,Bill Ackman of Pershing Square Capital Management gives up the “noisiest” kind of shareholder agitation.,https://www.nytimes.com/2022/03/30/business/dealbook/ackman-shareholder-activism.html,1774,Bill Ackman of Pershing Square Capital Management gives up the “noisiest” kind of shareholder agitation.,Business,Business,DealBook,News,"By Andrew Ross Sorkin, Jason Karaian, Stephen Gandel, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",
The Political Lives of Clarence and Ginni Thomas,2022-03-30T10:00:08Z,How the Supreme Court justice and his wife came to be at the heart of the conservative movement.,https://www.nytimes.com/2022/03/30/podcasts/the-daily/ginni-thomas-clarence-thomas.html,336,How the Supreme Court justice and his wife came to be at the heart of the conservative movement.,Podcasts,Podcasts,The Daily,News,"By Sabrina Tavernise, Rob Szypko, Rikki Novetsky, Chelsea Daniel, Mooj Zadie, Asthaa Chaturvedi, Marc Georges, M.J. Davis Lin, Dan Powell, Marion Lozano and Chris Wood",
Your Wednesday Briefing,2022-03-30T04:09:12Z,Peace talks between Russia and Ukraine.,https://www.nytimes.com/2022/03/30/briefing/ukraine-russia-germany-women-politics.html,1410,Peace talks between Russia and Ukraine.,NYTNow,Briefing,,briefing,By Natasha Frost,
How to Defeat Putin and Save the Planet,2022-03-29T23:00:05Z,The technology is here. We can now put Putin over a barrel. It is just a matter of leadership and national will.,https://www.nytimes.com/2022/03/29/opinion/how-to-defeat-putin-and-save-the-planet.html,1381,The technology is here. We can now put Putin over a barrel. It is just a matter of leadership and national will.,OpEd,Opinion,,Op-Ed,By Thomas L. Friedman,
Your Tuesday Evening Briefing,2022-03-29T22:02:46Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2022/03/29/briefing/your-tuesday-evening-briefing.html,1189,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,News,By Jonathan Wolfe and Daniel E. Slotnik,
Your Wednesday Briefing: Ukraine Talks Appear to Progress,2022-03-29T21:31:10Z,"And new lockdowns frustrate Shanghai, plus Afghans toil in deadly mines.",https://www.nytimes.com/2022/03/29/briefing/russia-talks-shanghai-afghan-mines.html,1314,"And new lockdowns frustrate Shanghai, plus Afghans toil in deadly mines.",NYTNow,Briefing,,briefing,By Amelia Nierenberg and Nancy Wartik,
Could the U.S. Do More?,2022-03-29T10:16:16Z,President Biden says that Ukraine has the full support of the U.S. Volodymyr Zelensky disagrees.,https://www.nytimes.com/2022/03/29/briefing/ukraine-zelensky-west-response.html,1709,President Biden says that Ukraine has the full support of the U.S. Volodymyr Zelensky disagrees.,NYTNow,Briefing,,briefing,By David Leonhardt,
Your Tuesday Briefing,2022-03-29T03:55:39Z,Ukraine reports some battle successes.,https://www.nytimes.com/2022/03/28/briefing/ukraine-war-will-smith-apology.html,1256,Ukraine reports some battle successes.,NYTNow,Briefing,,briefing,By Natasha Frost,
Marco Rubio Leads G.O.P. Push for a More Combative Stance on China,2022-03-28T23:00:07Z,"It’s time for Americans to buckle down for a long struggle with Beijing, the Florida senator will argue in a speech.",https://www.nytimes.com/2022/03/28/us/politics/marco-rubio-china-republicans.html,1539,"It’s time for Americans to buckle down for a long struggle with Beijing, the Florida senator will argue in a speech.",Politics,U.S.,Politics,News,By Blake Hounshell and Leah Askarinam,
Your Tuesday Briefing: Biden Stands by His Condemnation,2022-03-28T21:33:51Z,Plus a strike roils India and the Academy Awards condemn Will Smith.,https://www.nytimes.com/2022/03/28/briefing/biden-russia-oscars-will-smith-israel.html,1263,Plus a strike roils India and the Academy Awards condemn Will Smith.,NYTNow,Briefing,,News,By Amelia Nierenberg and Nancy Wartik,
Biden Administration Fights in Court to Uphold Some Trump-Era Immigration Policies,2022-03-13T18:51:31Z,Immigration activists and Democrats say there is a disconnect between the president’s words at the lectern and the government’s litigation in the courtroom.,https://www.nytimes.com/2022/03/13/us/politics/biden-trump-immigration.html,1588,Immigration activists and Democrats say there is a disconnect between the president’s words at the lectern and the government’s litigation in the courtroom.,Washington,U.S.,Politics,News,By Zolan Kanno-Youngs,
