headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
The Phone in the Room,2023-02-27T11:38:17Z,We examine the raging debate about smartphones and teenage mental health.,https://www.nytimes.com/2023/02/27/briefing/phones-mental-health.html,1736,We examine the raging debate about smartphones and teenage mental health.,NYTNow,Briefing,,briefing,By David Leonhardt,
Child Labor Today,2023-02-26T12:59:00Z,"A Times exposé has revealed that young teenagers work long shifts, sometimes for nationally known brands. What can be done?",https://www.nytimes.com/2023/02/26/briefing/migrant-child-labor.html,1558,"A Times exposé has revealed that young teenagers work long shifts, sometimes for nationally known brands. What can be done?",NYTNow,Briefing,,briefing,By David Leonhardt,
The Promise and Peril of a ‘Normal’ Politician,2023-02-25T14:00:07Z,"In American politics, things have gotten pretty weird. Is a more normal kind of politics and politician possible without excluding people?",https://www.nytimes.com/2023/02/25/opinion/normal-politicians-blake-masters.html,1659,"In American politics, things have gotten pretty weird. Is a more normal kind of politics and politician possible without excluding people?",OpEd,Opinion,,Op-Ed,By Jane Coaston,
Your Friday Evening Briefing,2023-02-24T22:50:35Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2023/02/24/briefing/ukraine-russia-war-anniversary-winter-storm.html,1272,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Matthew Cullen,
‘Woodstock’ for Christians: Revival Draws Thousands to Kentucky Town,2023-02-23T21:46:34Z,"Over two weeks, more than 50,000 people descended on a small campus chapel to experience the nation’s first major spiritual revival in decades — one driven by Gen Z.",https://www.nytimes.com/2023/02/23/us/kentucky-revival-asbury-university.html,1815,"Over two weeks, more than 50,000 people descended on a small campus chapel to experience the nation’s first major spiritual revival in decades — one driven by Gen Z.",National,U.S.,,News,By Ruth Graham and Jesse Barber,
Your Friday Briefing: A Year of War,2023-02-23T21:22:24Z,"Also, Nigeria’s upcoming election and health. care protests in China.",https://www.nytimes.com/2023/02/23/briefing/russia-ukraine-anniversary-war-asia.html,1253,"Also, Nigeria’s upcoming election and health. care protests in China.",NYTNow,Briefing,,briefing,By Amelia Nierenberg and Lynsey Chutel,
Nikki Haley’s Run for the Presidency,2023-02-23T17:09:18Z,Readers assess her qualifications and chances of winning. Also: Tucker Carlson and the Jan. 6 tapes; dementia; ageism and Covid; risk management.,https://www.nytimes.com/2023/02/23/opinion/letters/nikki-haley.html,1131,Readers assess her qualifications and chances of winning. Also: Tucker Carlson and the Jan. 6 tapes; dementia; ageism and Covid; risk management.,Letters,Opinion,Letters,Letter,,
Two Above the Rest,2023-02-23T11:30:24Z,We offer a field guide to the 2024 Republican presidential campaign.,https://www.nytimes.com/2023/02/23/world/gop-race-2024-trump-desantis.html,1667,We offer a field guide to the 2024 Republican presidential campaign.,NYTNow,World,,News,By David Leonhardt and Ian Prasad Philbrick,
Arguing About Masks and Mandates,2023-02-22T19:30:54Z,Readers criticize a column by Bret Stephens asserting that mask mandates were ineffective. Also: Children and loss; John Fetterman; population growth.,https://www.nytimes.com/2023/02/22/opinion/letters/masks-mandates-covid.html,1114,Readers criticize a column by Bret Stephens asserting that mask mandates were ineffective. Also: Children and loss; John Fetterman; population growth.,Letters,Opinion,Letters,Letter,,
"After Chemical Burn, Farm Owners Worry About a Cherished Way of Life",2023-02-22T10:00:46Z,"The derailment of a train carrying toxic chemicals upended a region of Ohio where generations of families could afford to buy acres of land, raise livestock and plant gardens.",https://www.nytimes.com/2023/02/22/us/politics/ohio-train-derailment-farms-chemicals.html,1535,"The derailment of a train carrying toxic chemicals upended a region of Ohio where generations of families could afford to buy acres of land, raise livestock and plant gardens.",National,U.S.,Politics,News,By Emily Cochrane,
