headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
The Supreme Court Rejects a Once-Fringe Elections Theory,2023-06-27T21:41:54Z,"Also, the Wagner chief begins exile in Belarus. Here’s the latest at the end of Tuesday.",https://www.nytimes.com/2023/06/27/briefing/supreme-court-elections-theory-wagner-leader.html,1265,"Also, the Wagner chief begins exile in Belarus. Here’s the latest at the end of Tuesday.",NYTNow,Briefing,,News,By Matthew Cullen,
The Supreme Court Just Helped Save American Democracy From Trumpism,2023-06-27T17:55:23Z,The end of the “independent state legislature” doctrine.,https://www.nytimes.com/2023/06/27/opinion/scotus-saved-democracy.html,1005,The end of the “independent state legislature” doctrine.,OpEd,Opinion,,Op-Ed,By David French,
Andy Warhol and ‘Fair Use’ in Art,2023-06-27T16:21:10Z,Readers discuss a Supreme Court case involving the artist. Also: The Federalist Society; Donald Trump’s motives; passive house standards; elder care.,https://www.nytimes.com/2023/06/27/opinion/letters/andy-warhol-fair-use.html,1073,Readers discuss a Supreme Court case involving the artist. Also: The Federalist Society; Donald Trump’s motives; passive house standards; elder care.,Letters,Opinion,Letters,Letter,,
A Handy Guide to the Republican Definition of a Crime,2023-06-27T09:00:28Z,The party of law and order has given new meaning to “law and order.” Here’s what it considers crimeworthy.,https://www.nytimes.com/2023/06/27/opinion/republicans-crime-guide.html,1355,The party of law and order has given new meaning to “law and order.” Here’s what it considers crimeworthy.,Editorial,Opinion,,Op-Ed,By David Firestone,
Your Tuesday Briefing,2023-06-27T04:54:09Z,An angry speech by Vladimir Putin.,https://www.nytimes.com/2023/06/27/briefing/putin-greece-election-trump.html,1283,An angry speech by Vladimir Putin.,NYTNow,Briefing,,briefing,By Natasha Frost,
Far Right Pushes a Through-the-Looking-Glass Narrative on Jan. 6,2023-06-23T09:01:26Z,An ecosystem of true believers is promoting a tale of persecution rather than prosecution that has migrated to the heart of presidential politics.,https://www.nytimes.com/2023/06/23/us/politics/jan-6-trump.html,1410,An ecosystem of true believers is promoting a tale of persecution rather than prosecution that has migrated to the heart of presidential politics.,Washington,U.S.,Politics,News,By Robert Draper,
DeSantis Dodges Question on Endorsing Trump as 2024 Nominee,2023-06-22T21:38:08Z,The Florida governor did say he would “respect the outcome” of the primaries while Donald Trump has refused to commit to backing the party’s 2024 nominee if the former president falls short.,https://www.nytimes.com/2023/06/22/us/politics/desantis-trump.html,685,The Florida governor did say he would “respect the outcome” of the primaries while Donald Trump has refused to commit to backing the party’s 2024 nominee if the former president falls short.,Politics,U.S.,Politics,News,By Nicholas Nehamas,
The Importance of Hope in the Pro-Life Movement,2023-06-22T19:30:09Z,"One year after Dobbs, abortion opponents must contemplate their political alliances.",https://www.nytimes.com/2023/06/22/opinion/abortion-law-reality.html,1509,"One year after Dobbs, abortion opponents must contemplate their political alliances.",OpEd,Opinion,,Op-Ed,By David French,
How to Change an Entrenched Police Culture,2023-06-22T17:00:16Z,Readers discuss police reforms after the George Floyd murder. Also: The submersible; Justice Alito’s ethics; President Trump’s behavior; child care funding.,https://www.nytimes.com/2023/06/22/opinion/letters/police-minneapolis.html,1360,Readers discuss police reforms after the George Floyd murder. Also: The submersible; Justice Alito’s ethics; President Trump’s behavior; child care funding.,Letters,Opinion,Letters,Letter,,
The Bargain You Make Living in America May No Longer Hold,2023-06-21T09:00:13Z,"Less for more. That’s the fundamental bargain, as it’s been construed since Roe v. Wade and the Reagan revolution.",https://www.nytimes.com/2023/06/21/opinion/american-freedom-after-dobbs.html,1140,"Less for more. That’s the fundamental bargain, as it’s been construed since Roe v. Wade and the Reagan revolution.",OpEd,Opinion,,Op-Ed,By Katherine Miller,
