headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
The Biden Boom,2021-03-30T23:02:07Z,The president has a chance to supercharge the economy.,https://www.nytimes.com/2021/03/30/opinion/biden-stimulus-infrastructure.html,1212,The president has a chance to supercharge the economy.,OpEd,Opinion,,Op-Ed,By Thomas L. Friedman,
"Fourth Wave, Matt Gaetz, Lil Nas X: Your Tuesday Evening Briefing",2021-03-30T22:21:41Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2021/03/30/briefing/fourth-wave-matt-gaetz-lil-nas-x.html,1291,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,By Remy Tumin and Sarah Hughes,
"Republicans Have an Agenda All Right, and They Don’t Need Congress for It",2021-03-30T09:00:13Z,The G.O.P.’s program lives in the judiciary — and especially in the Supreme Court.,https://www.nytimes.com/2021/03/30/opinion/republican-party-supreme-court.html,1063,The G.O.P.’s program lives in the judiciary — and especially in the Supreme Court.,OpEd,Opinion,,Op-Ed,By Ian Millhiser,
"‘Babylon Berlin,’ Babylon America?",2021-03-30T09:00:12Z,How watching a TV show about Weimar Germany can help us interpret our own era.,https://www.nytimes.com/2021/03/30/opinion/babylon-berlin-weimar-america.html,1336,How watching a TV show about Weimar Germany can help us interpret our own era.,OpEd,Opinion,,Op-Ed,By Ross Douthat,
"Corrections: March 30, 2021",2021-03-30T04:44:09Z,"Corrections that appeared in print on Tuesday, March 30, 2021.",https://www.nytimes.com/2021/03/30/pageoneplus/corrections-march-30-2021.html,360,"Corrections that appeared in print on Tuesday, March 30, 2021.",Corrections,Corrections,,Correction,,
Sean Bean Talks About Derailing ‘Snowpiercer’,2021-03-30T03:00:07Z,"In an interview, the actor discussed Monday’s Season 2 finale, his character’s Trumpian qualities and whether he would be up for a “Game of Thrones” prequel.",https://www.nytimes.com/2021/03/29/arts/television/sean-bean-talks-about-derailing-snowpiercer.html,1595,"In an interview, the actor discussed Monday’s Season 2 finale, his character’s Trumpian qualities and whether he would be up for a “Game of Thrones” prequel.",Culture,Arts,Television,News,By Jennifer Vineyard,
Who Are Gavin Newsom’s Enemies?,2021-03-26T22:23:34Z,"California’s governor, once one of the most popular in the country, is fighting for his job. Here’s a look at what happened.",https://www.nytimes.com/2021/03/26/us/politics/gavin-newsom-recall.html,1273,"California’s governor, once one of the most popular in the country, is fighting for his job. Here’s a look at what happened.",Politics,U.S.,Politics,News,By Giovanni Russonello,
"Vaccines, Georgia, Beverly Cleary: Your Friday Evening Briefing",2021-03-26T21:45:14Z,Here’s what you need to know at the end of the day.,https://www.nytimes.com/2021/03/26/briefing/vaccines-georgia-beverly-cleary-passover.html,1280,Here’s what you need to know at the end of the day.,NYTNow,Briefing,,briefing,"By Remy Tumin and Jeremiah M. Bogert, Jr.",
Transcript: Ezra Klein Interviews Kristen Soltis Anderson,2021-03-26T12:50:03Z,The March 26 episode of “The Ezra Klein Show.”,https://www.nytimes.com/2021/03/26/podcasts/ezra-klein-podcast-kristen-soltis-anderson-transcript.html,11882,The March 26 episode of “The Ezra Klein Show.”,OpEd,Podcasts,,Op-Ed,,
The Covid Testing Slump,2021-03-26T10:20:30Z,David Leonhardt on the worrisome decline in Covid testing.,https://www.nytimes.com/2021/03/26/briefing/jessica-walter-suez-canal-usc-gynecologist.html,1618,Covid-19 testing is on the decline. That’s a problem.,NYTNow,Briefing,,briefing,By David Leonhardt,
"As Biden Urges Caution on Covid, Governors Split on How Fast to Reopen",2021-03-05T01:10:18Z,"Even within political parties, governors were taking different approaches as they tried to balance public health guidance with residents’ eagerness to get back to normal life.",https://www.nytimes.com/2021/03/04/us/covid-states-reopening-governors.html,1485,"Even within political parties, governors were taking different approaches as they tried to balance public health guidance with residents’ eagerness to get back to normal life.",National,U.S.,,News,"By Julie Bosman, Michael D. Shear and Reid J. Epstein",
